R01-1|A fitted line stores its learned slope separately from its offset.|coef_, intercept_ and scalar conversion.|Read the single distance coefficient and intercept from the supplied fitted model.|The named values distinguish change per distance unit from the predicted value at zero distance.
C04-2|A threshold turns a class score into a decision under a stated rule.|Vector comparison and np.where.|Compare each B probability with the declared threshold and map the two outcomes to class labels.|The threshold changes the decision rule while leaving the supplied probabilities unchanged.
C04-3|The largest probability gives a column position, not necessarily the class name.|np.argmax along rows and model.classes_.|Find each row’s maximum-probability column and map those positions through the fitted class array.|Class-aligned indexing correctly recovers labels even when class names are strings or their order differs from expectations.
C05-1|The classifier’s optimisation uses the prepared feature scale learned from training rows.|Pipeline, StandardScaler and LogisticRegression.|Build the named scaling/classification steps, fit the training pair and predict through the complete pipeline.|The pipeline reuses training statistics for test rows while the iteration budget supports convergence.
C05-2|A logistic coefficient changes log-odds, not probability by a fixed amount.|Scaled features, positive class and conditional log-odds.|Describe the direction for the fitted positive class while holding other inputs fixed.|@answer
C05-3|Multiclass coefficients require both a class axis and a feature axis.|named_steps, coef_, classes_ and dataframe labels.|Read coefficients from the fitted final step and attach fitted classes and training-column names.|The labelled dimensions expose which class and feature each coefficient belongs to.
C06-1|Regularisation strength is chosen using training-only class-balanced evidence.|GridSearchCV, model__C and f1_macro.|Search the declared C values with the supplied mixed pipeline and fixed folds.|Preparation is refitted within each fold, so the comparison evaluates the complete candidate recipe without test leakage.
C06-2|A reference is comparable only when its folds and scoring rule match the candidate.|DummyClassifier and cross_validate.|Evaluate the most-frequent reference on the same training rows, folds and macro-F1 scorer.|Holding the evaluation design fixed isolates the predictive contribution beyond majority-class guessing.
C06-3|Removing context asks how much the measurements alone support prediction.|Column selection, scaled logistic Pipeline and cross_validate.|Use only numeric measurements in a fresh pipeline and score it on the same folds.|The matched-fold ablation tests the role of context while preserving the validation boundary.
C07-1|Threshold development needs probabilities for rows not used in their own fit.|cross_val_predict, StratifiedKFold and method='predict_proba'.|Generate class-probability vectors for every training row using the specified stratified folds.|OOF probabilities permit training-only threshold analysis without opening the reserved final population.
C07-2|More scores exceed a lower cutoff.|Positive prediction sets and threshold comparisons.|Track how the predicted-positive set changes before describing possible error trade-offs.|@answer
C07-3|A stated constraint should be checked before optimising another preference.|Recall minimum and the supplied precision/recall pairs.|Compare each candidate’s recall with the minimum, then acknowledge the precision consequence.|@answer
C07-4|The same probability can lead to different actions under different costs.|Decision thresholds, prevalence and error costs.|State the decision objective and the evidence used to justify the chosen operating point.|@answer
C08-1|Neighbour indices refer to the fitted training representation.|StandardScaler, KNeighborsClassifier and kneighbors.|Learn the scale on training rows, fit three-neighbour KNN and query the transformed first test row.|Using the same coordinate system makes the returned neighbour positions meaningful for the fitted training table.
C08-2|Change the voting neighbourhood while preserving the preparation boundary.|A scaling/KNN Pipeline with n_neighbors.|Fit the five-neighbour recipe on training data and predict the first held-away row.|The pipeline preserves the learned distance scale while the changed k alters the voting neighbourhood.
C08-3|Disagreement nearby describes local ambiguity even when a single label must be returned.|Neighbour voting and class composition.|Explain how the configured vote produces a label and what mixed neighbours limit.|@answer
C09-1|Scaling must be learned separately inside each validation fit.|Pipeline, GridSearchCV and model__n_neighbors.|Compare the declared k values in a scaling/KNN pipeline using seeded stratified macro-F1 folds.|Fold-local scaling keeps validation observations from changing distances used to fit their own predictor.
C09-2|A row can have zero distance from itself.|KNN neighbour lookup and held-out evaluation.|Consider which observation would be an especially close neighbour if validation rows remained in training.|@answer
C09-3|Distance combines every included dimension, including irrelevant variation.|Feature representation and the curse of dimensionality.|Explain how weak dimensions can obscure useful local similarity and where feature choices should be validated.|@answer
C10-1|The supplied fitted pipeline already contains the scale and margin model.|Pipeline.predict.|Pass the held-away features through the existing fitted pipeline.|Prediction applies the learned preparation and SVM decision rule without refitting on evaluation rows.
C10-2|Only some training observations support the fitted margin.|named_steps and n_support_.|Read the fitted SVC support counts in its class order.|These counts describe support vectors per class, not probabilities or the number of correct predictions.
C10-3|A decision score’s range and meaning differ from a probability.|decision_function and SVC probability configuration.|Check which API produced the values before deciding how they may be labelled.|@answer
C11-1|C changes the margin/error trade-off and must be chosen before final testing.|GridSearchCV, StratifiedKFold and model__C.|Evaluate the three declared C values with training-only macro-F1 folds.|The shared folds compare regularisation choices while the pipeline keeps scaling within each fit.
C11-2|More local influence can follow small details in the training sample.|RBF gamma, flexibility and validation.|Connect locality to a potential training/validation gap rather than assuming improvement.|@answer
C11-3|A useful model choice includes the representation and the resources needed to fit it.|Distance-based kernels, scaling and runtime.|Explain why units affect the kernel and how computational cost qualifies a small score gain.|@answer
C12-1|One-R retains a single selected feature’s mapping rather than combining all inputs.|The fitted One-R step and rules_.|Access the classifier inside the pipeline and inspect its learned rules.|The rule mapping makes the simple classifier inspectable and keeps its limited expressiveness visible.
C12-2|An unseen category must pass through the already fitted representation.|Pipeline.predict and a schema-matched dataframe.|Construct the requested service/fragile row and predict through the existing pipeline.|Reusing fitted preprocessing exercises the declared unknown-category behaviour without inventing a new encoding at prediction time.
C12-3|Interpretability does not guarantee improvement over a constant reference.|One-feature rules and matched reference scores.|Compare predictive gain, describe the selected rule and identify interactions it cannot express.|@answer
C13-1|Numeric One-R learns intervals before it can map new values to labels.|Pipeline.fit and predict with numeric-rule preparation.|Fit the supplied recipe on the aligned features and labels, then inspect predictions.|The fit learns the interval/rule structure; these in-sample outputs illustrate behaviour rather than held-away performance.
C13-2|The number of numeric bins is a training-only selection choice.|GridSearchCV, model__bins and StratifiedKFold.|Compare the three bin settings with the declared three-fold macro-F1 design.|Each candidate learns its own intervals within each fit, avoiding a globally learned bin boundary for validation rows.
C13-3|The classifier needs to know which prepared columns are categories and which remain numeric.|named_steps and categorical_mask_.|Fit the recipe, then inspect the final step’s feature-type mask.|The mask verifies the intended mixed representation instead of inferring feature meaning from numeric storage alone.
C14-1|Purity measures how mixed the child labels remain after a split.|Class counts and impurity reduction.|Compare each candidate’s child compositions with the mixed parent.|@answer
C14-2|A tree follows feature thresholds to a leaf with a learned class prediction.|DecisionTreeClassifier, apply and predict.|Fit the declared depth-limited tree, then obtain the first test row’s leaf and label.|The two outputs connect tree traversal with classification without requiring any regression-tree prerequisite.
C14-3|Depth and minimum leaf size constrain different aspects of tree complexity.|GridSearchCV with a two-parameter grid and stratified folds.|Compare the declared combinations using training-only macro F1 and retain the candidate scores.|The grid evaluates both constraints on matching folds before any final-test choice.
C14-4|Training fit, validation performance and feature importance are different evidence types.|Overfitting gaps and impurity-based importance.|Interpret each item separately, then qualify the importance claim and identify the proper selection boundary.|@answer
C15-1|Posterior columns and prior entries both follow fitted class order.|predict_proba, classes_ and class_prior_.|Label posterior probabilities by test row and class, then inspect the fitted priors.|The labelled table distinguishes row-specific posterior evidence from the model’s overall class-prior frequencies.
C15-2|Density is a height; probability integrates over a range.|Density units and area under a distribution.|Distinguish a value at one point from an area before checking the probability bound.|@answer
C15-3|Correlated measurements can provide overlapping evidence.|Conditional independence and probability calibration.|Explain what the model assumes and how repeated information can affect confidence.|@answer
C16-1|Presence and absence are two outcomes of a binary measurement.|Bernoulli versus Gaussian likelihoods.|Match the meaning of the input values to the distribution the model represents.|@answer
C16-2|The declared target must stay separate from the presence/absence indicators.|BernoulliNB and an explicit flags list.|Fit only the nine permitted flags to the training popular labels and predict the same test schema.|The binary likelihood matches the feature meanings and excludes the target-derived winpercent source.
C16-3|Named categories need a fitted indicator representation before this Bernoulli path.|OneHotEncoder, Pipeline and BernoulliNB.|Encode the six declared Car attributes inside a pipeline, then fit and predict through it.|Fold-compatible preparation preserves category membership without treating arbitrary category codes as continuous measurements.
C16-4|Different feature meanings do not automatically share one valid likelihood.|Continuous, binary and categorical likelihood assumptions.|Check whether the proposed recipe supplies separate handling for each type.|@answer
C17-1|Class means need the same feature names and class order used by the fitted model.|means_, classes_ and a labelled dataframe.|Read the fitted means and attach class rows plus training-feature columns.|The table exposes each class centre while leaving the shared covariance assumption conceptually separate.
C17-2|Shrinkage modifies covariance estimation rather than the target labels.|LinearDiscriminantAnalysis with solver='lsqr' and GridSearchCV.|Compare the two declared shrinkage settings using matching stratified macro-F1 folds.|The solver supports shrinkage, and training-only validation tests whether the covariance stabilisation helps this population.
C17-3|Posterior probabilities must remain aligned to both rows and classes.|predict_proba, classes_ and test indices.|Construct the probability table directly from the fitted LDA outputs with explicit labels.|Alignment keeps probability interpretation correct without assuming the class order from the original data.
C18-1|The distinction concerns whether each class may have its own covariance.|Shared versus class-specific covariance.|Compare the allowed covariance structures and their resulting boundary shapes.|@answer
C18-2|Regularisation stabilises the class-specific covariance estimates.|QuadraticDiscriminantAnalysis with reg_param, fit and predict.|Fit the declared regularised recipe on training rows and predict held-away labels.|The regularisation choice is explicit and the evaluation rows do not estimate class shapes.
C18-3|Numerical warnings are evidence about a fit, even when a score is returned.|GridSearchCV, reg_param and captured warnings.|Compare the declared regularisation grid on stratified folds, inspect scores and read emitted warnings.|Validation measures predictive behaviour while warnings help qualify whether covariance estimates are adequately supported.
C18-4|Estimating a separate shape per class becomes harder as dimension grows.|Production feature limits and per-class sample support.|Check the scenario’s feature count against the supported path before interpreting its flexibility.|@answer
C19-1|Pairwise relationships multiply as features are added.|Covariance matrices and dimensionality.|Compare the number of quantities needed for a mean vector with those needed for a covariance structure.|@answer
C19-2|Regularisation pulls toward a target expressed in a coordinate system.|Identity shrinkage and feature units.|Explain how changing units can change the meaning of the regularisation target.|@answer
