N01-1|Layer widths describe internal representation capacity rather than the number of target classes.|Hidden-layer tuples and task-dependent outputs.|Read each tuple entry as a hidden layer, then separate the output layer’s role.|@answer
U04-2|Silhouette combines within-group cohesion with separation from other groups.|silhouette_score and the fitted labels_.|Use the same scaled rows and their matching fitted assignments in the metric.|Matching representation and assignments ensures the score describes the actual grouping just fitted.
U04-3|Each k needs its own fitted assignments before both diagnostics can be calculated.|A candidate loop, inertia_ and silhouette_score.|Fit each requested k reproducibly, collect its two measures and build an evidence table.|The table supports comparison across resolutions without making either metric a universal definition of useful groups.
U04-4|The exploratory purpose can distinguish groupings with nearly tied scores.|Profiles, sizes and substantive usefulness.|Describe what each resolution reveals and justify the trade-off relevant to the question.|@answer
U05-1|Assignments must align with the original rows whose profiles you report.|groupby.mean and value_counts.|Use the supplied labels to aggregate original measurements and count group membership.|Original-unit means explain group characteristics while sizes reveal whether a profile describes many rows or a tiny subset.
U05-2|A two-feature view should identify groups without relying only on colour.|Scatter, per-group masks, distinct markers and a legend.|Plot each group’s bill measurements with labelled axes and distinct symbols, then return their means.|Symbols and labels preserve accessibility; the chart shows only two of the measurements used in fitting.
U05-3|Group IDs are names, and a projection omits dimensions.|Partition equivalence and partial views.|Separate renaming from changed membership, then identify what the plotted axes leave out.|@answer
U06-1|Different initial centres can lead to different local solutions.|KMeans with n_init=1, random_state and inertia_.|Keep k and data fixed while fitting each declared seed, then compare the objectives.|One start exposes initialisation sensitivity that a multi-start run is designed to reduce.
U06-2|The mathematical objective may not match the real-world meaning of a group.|Squared centroid distance and cluster geometry.|Explain why compact pieces can optimise inertia while obscuring an elongated substantive structure.|@answer
U07-1|A linkage matrix records merges rather than one final assignment per row.|The supplied Ward linkage_matrix.|Inspect and return the prepared merge record for the scaled population.|Each merge row represents the hierarchical construction; a later cut is needed to obtain a chosen grouping.
U07-2|A truncated tree changes what is displayed, not which hierarchy was fitted.|dendrogram, truncate_mode and p.|Render the supplied linkage with the declared last-groups truncation and label its merge-distance axis.|Truncation keeps the figure readable while the labels clarify that displayed leaves may represent merged groups.
U07-3|Merge height is tied to the linkage method’s geometry.|Ward merge distance and hierarchical interpretation.|Identify what the vertical scale measures before making a claim about group truth.|@answer
U08-1|A cut converts one hierarchy into a requested resolution.|cut_tree and ravel.|Cut the supplied linkage at the declared group count and flatten the assignments.|The one-dimensional labels align to the hierarchy’s original row order and can support later profiles.
U08-2|Changing the cut changes membership resolution within the same fitted hierarchy.|cut_tree and value_counts for two and four groups.|Obtain assignments for each requested cut and report each cut’s group counts in the named Series.|Using one linkage isolates the resolution choice without fitting a different hierarchy for each comparison.
U08-3|A visually attractive cut still needs an exploratory purpose.|Group sizes, original-unit profiles and separation evidence.|Connect the cut’s descriptive evidence to the question it is intended to help answer.|@answer
U09-1|Original indices preserve the link between sampled observations and their measurements.|DataFrame.sample with random_state.|Take the requested reproducible sample without resetting its index.|Retaining row identity lets later assignments and original-unit profiles remain aligned to the sampled population.
U09-2|The cap applies to selected measurement rows, not to target labels or an arbitrary prefix.|Explicit feature selection and sample(min(...)).|Select the five measurements, cap the sample size and use the declared seed.|The fixed sample bounds hierarchy cost and preserves a reproducible population whose original indices remain available.
U09-3|Algorithm and population differences can both alter profiles.|Matched populations and feature representations.|Hold the rows and representation constant for a direct comparison, or explicitly qualify the mismatch.|@answer
U10-1|Information used to choose a grouping is part of the selection process.|Hidden references and label-independent fitting.|Trace whether species influenced k before accepting the unsupervised claim.|@answer
U10-2|A sampled grouping describes a particular population and geometry.|Sample scope, scaling, linkage and cut choices.|State the observed profiles and qualify how other samples or representations could change them.|@answer
P01-1|A component is an axis in a transformed coordinate system.|Weighted combinations and explained variation.|Distinguish a new linear combination from selecting a single original column.|@answer
P01-2|Fewer coordinates and group assignments are different outputs.|Representation learning versus clustering.|Describe the desired output of each task before choosing a method.|@answer
P02-1|Scores are each observation’s coordinates along the fitted component axes.|The supplied PCA scores array.|Return the prepared component-score matrix and inspect its row/column shape.|Rows remain observations while columns become component coordinates rather than original measurements.
P02-2|New rows must use both the original fitted scale and the original fitted axes.|scaler.transform followed by pca.transform.|Select the requested observations and apply the two existing transformations in order.|Refitting either stage would change the coordinate system and prevent consistent comparison with existing scores.
P02-3|The declared representation should be fitted from measurements alone.|StandardScaler, PCA.fit and transform.|Select Penguin measurements, fit their scale and PCA, then transform the same population.|The resulting scores summarise measured variation without using species or contextual labels to define the axes.
P03-1|Variance ratios refer to the representation on which PCA was fitted.|explained_variance_ratio_.|Read the fitted per-component ratio array in component order.|The ratios describe how input variation is distributed across axes; they are not prediction scores.
P03-2|Each bar should correspond to a clearly numbered component.|Matplotlib bar and explained_variance_ratio_.|Plot the fitted ratios against one-based component numbers with explicit axis labels.|The chart makes the distribution of representation variance visible without implying measured classification performance.
P03-3|Retained input variation does not count correct predictions.|Variance retention versus supervised accuracy.|Identify the quantity measured by the percentage and whether any target prediction was evaluated.|@answer
P04-1|The rule asks for the first cumulative total that reaches the threshold.|np.cumsum, np.searchsorted and score-column slicing.|Accumulate variance ratios, locate the first qualifying component count and retain that prefix of scores.|Adding one converts a zero-based position into a dimension count; the prefix retains the required variation with the fewest leading axes.
P04-2|A higher retention threshold cannot require fewer leading components.|Cumulative ratios and repeated threshold lookup.|Apply the same smallest-prefix rule to each requested threshold and report both counts.|Holding the fitted PCA fixed isolates the effect of the retention requirement.
P04-3|All 30 measurements belong to the declared input representation; diagnosis does not.|Feature-name selection, scaling, PCA and cumulative variance.|Select only the measurement columns, fit the representation and apply the smallest 90% prefix rule.|The count describes compression of the declared measurement population without using the reference diagnosis to select axes.
P05-1|components_ stores axes as rows, while the requested table uses features as rows.|Transpose, original feature names and component labels.|Take the first two axes, transpose them and attach feature/PC names.|The labelled weights distinguish how each original measurement contributes to each new axis.
P05-2|An axis can point in either direction without changing the represented geometry.|Consistent sign changes of scores and weights.|Consider the product of a score and its axis when both signs reverse.|@answer
P05-3|A score table has observation rows, unlike a component-weight table.|Score slicing, original row index and PC labels.|Select the first two score columns and label them with the original observation indices.|Preserving row identity supports later interpretation while keeping scores distinct from feature weights.
P06-1|The visible two-dimensional view may retain less variation than the full chosen representation.|Summing the first two explained-variance ratios.|Add the ratios for the plotted axes and report the resulting fraction.|The fraction states how much fitted input variation the picture can show and qualifies what it omits.
P06-2|A reporting view and a retained feature representation can have different dimensions.|Cumulative retention and separate score slices.|Determine the 90% count, then return both that prefix and the first-two-axis view.|Keeping the outputs separate prevents a convenient plot from silently replacing the requested retained representation.
P06-3|A reference label added after fitting aids interpretation only if it did not choose the representation.|Post-fit colouring, projection limits and selection information.|State what the association in the view shows and which predictive or causal claims it cannot establish.|@answer
P07-1|Changing an axis direction changes weight signs without changing its variance.|Component indexing and multiplication by minus one.|Select the first fitted axis and reverse every weight consistently.|The output represents the same one-dimensional direction with its orientation reversed.
P07-2|Reconstruction depends on the product of scores and weights.|Consistent sign reversal and np.outer.|Reverse both the first score column and first axis, then form their outer product.|The two sign changes cancel, demonstrating equivalence of the rank-one reconstructed contribution.
P07-3|Discarded component contributions can be removed while preserving the fitted inverse mapping.|Score copying, zeroing later columns and inverse_transform.|Copy scores, set all columns beyond the first two to zero and invert through the fitted PCA.|The reconstruction stays in scaled-input coordinates and exposes the information lost by retaining only two components.
P07-4|An interpretable variance combination is not evidence of an underlying cause.|PCA weights, interpretation and causal identification.|Separate a descriptive name from a claim about what generates the measurements.|@answer
M01-1|Start with the desired output and whether a labelled target exists.|Supervised prediction, clustering and PCA.|Match compact numeric representation to the appropriate task family.|@answer
M01-2|A shortlist must respect the target type, input meanings and available support.|Encoding, simple supervised families, flexibility and validation.|Name compatible candidates and justify their assumptions and practical trade-offs.|@answer
M01-3|Both methods discover structure, but their primary representations differ.|Centroids versus a merge hierarchy.|Match each method to how it organises similarity and supports different resolutions.|@answer
M01-4|“Patterns” does not specify whether the team wants labels, groups, a hierarchy or coordinates.|Task framing, population and intended interpretation.|Clarify the desired output and useful evidence before naming an estimator.|@answer
M02-1|Paired fold differences reveal consistency, not just an overall winner.|Matching folds and variation in error differences.|Inspect the signs and scale of the supplied differences before making a ranking claim.|@answer
M02-2|A model comparison changes more than the estimator when validation order also changes.|Random versus forward validation.|Identify the changed evaluation assumption and explain why it confounds the comparison.|@answer
M02-3|A nomination can use cost and interpretability when score differences are small.|Paired validation evidence, practical constraints and final-test discipline.|State the comparable evidence, qualify its variation and justify the chosen trade-off before final evaluation.|@answer
M03-1|A comparison table should keep each model beside its matching score and fold variation.|pd.DataFrame with model, cv_rmse and fold_sd columns.|Enter the two stated model results as aligned rows in the named columns.|The table keeps training-fold error and its variation together, which helps qualify the small difference between the model means.
M03-2|A held-away result supports a population-specific prediction claim.|Evaluation scope and causal limits.|Check whether the wording stays within the evidence actually produced.|@answer
M03-3|Weak improvement is a result to explain rather than hide.|Dummy references, uncertainty and model scope.|State the limited gain, describe what was evaluated and identify unresolved possibilities.|@answer
M04-1|A missing input changes the contract the fitted workflow relies on.|Feature availability and deployment schema.|Trace how the missing field affects preparation and the validity of earlier evaluation.|@answer
M04-2|A new institution may differ in definitions, population and error costs.|External validation, feature availability and distribution shift.|Identify the relevant differences and seek evidence on the intended new population.|@answer
