# exercise | Think | Tools | Approach | Why; @answer keeps the already specific conceptual explanation.
F01-1|Ask whether the desired output is a known label or a newly discovered grouping.|Supervised targets, class labels and clustering.|Identify what is already labelled in the table, then name the prediction task.|@answer
F07-1|Splitting X and y separately risks breaking which outcome belongs to which row.|train_test_split, test_size and random_state.|Select the legitimate input and target, split them in one call and retain all four returned objects.|A joint split preserves alignment and a fixed seed makes the declared evaluation boundary reproducible.
F07-2|Only the declared test fraction changes; the input schema and seed do not.|train_test_split with a fractional test_size.|Repeat the joint split with a quarter reserved and inspect the resulting sizes.|Changing the fraction changes the allocation of observations while keeping the randomisation rule explicit.
F07-3|Candy measurements and winpercent play the same X/y roles as distance and duration.|Joint dataframe/series splitting.|Select sugarpercent and winpercent, then apply the stated seeded holdout design.|The workflow transfers to a different measured outcome without putting that outcome among the predictors.
F08-1|The output is a class label, even though the recipe uses numeric measurements.|The supplied DecisionTreeClassifier recipe, fit and predict.|Use the given classifier settings with the two measurement columns and label target, then obtain one label per row.|This exercise isolates the classifier interface; the supplied tree recipe is not a request to choose or tune a tree.
F08-2|A number can be a category code rather than a measured amount.|Target meaning and nominal class labels.|Ask whether differences between codes have a quantitative meaning in this scenario.|@answer
F09-1|Small class groups can disappear from an evaluation partition by chance.|train_test_split with stratify and value_counts.|Split features and labels together using the declared seed and stratification, then count test labels.|Stratification approximately preserves class representation; counting the labels makes the partition visible.
F09-2|Keep the split fraction and seed fixed while changing only the stratification choice.|An unstratified joint split and sorted class counts.|Create the unstratified partition and compare its counts with the supplied stratified result.|This isolates how class-aware sampling changes representation; a single comparison does not establish universal superiority.
F09-3|The supplied popular label is the target used to preserve class proportions.|stratify=y and class-count inspection.|Select the allowed measurements, split jointly using popular for stratification and inspect test counts.|Using the fixed class definition preserves the stated task; the target guides splitting without becoming a feature.
F10-1|Availability must be judged at the moment the prediction would be made.|Prediction horizon and outcome leakage.|Place each candidate input before or after the delivery event and compare it with the prediction time.|@answer
F10-2|A source used to construct the label can reveal the answer even if its name differs.|Allowed feature lists and target-derived leakage.|Select only the two permitted pre-outcome measurements and inspect the columns.|winpercent defines popular, so retaining it would let a classifier reconstruct the label instead of learning the intended relationship.
F10-3|Validation within one geography may reward a context-specific shortcut.|Prediction context, geographic coverage and external validity.|State how island helps in this sample, then identify a deployment setting that the evidence does not cover.|@answer
W01-1|Exploration can influence later choices, so use only the development population.|describe, scatter, axis labels and X_train/y_train.|Summarise numeric training inputs, then plot training distance against its aligned training target.|Both the summary and figure describe rows available for development; the final test stays outside exploratory decisions.
W01-2|Class balance is part of the training population you are about to learn from.|Series.value_counts on y_train.|Count the supplied training labels without adding the held-away target rows.|The counts describe the development class mix and help interpret later references and error summaries.
W02-1|A useful reference must learn its constant from training outcomes only.|DummyRegressor with the mean strategy, fit and predict.|Fit the reference on the training pair and obtain predictions for the supplied evaluation features.|A learned training mean provides a simple comparison without borrowing the evaluation outcomes.
W02-2|Both predictors must face the same outcomes and the reference must use a training statistic.|root_mean_squared_error, y_train.mean and a repeated constant.|Calculate errors for the model predictions and a training-mean vector of matching length.|A shared evaluation population makes the error comparison meaningful; using the test mean would give the reference unavailable information.
W02-3|High overall accuracy can coexist with failure on a smaller class.|Majority reference, class prevalence and minority recall.|Imagine the predictions for minority observations when every output is the majority label.|@answer
W03-1|A scale is learned information, not merely a cosmetic unit conversion.|StandardScaler.fit and transform.|Fit on the supplied training column, then apply that fitted scaler to those rows.|The mean and spread come exclusively from the declared fitting population.
W03-2|New observations should be expressed using the existing training coordinate system.|The fitted scaler’s transform method.|Transform X_test directly without calling a fitting method.|Reusing training statistics prevents held-away values from changing the scale.
W03-3|Repair the boundary at which the scaling statistics are learned.|StandardScaler, fit on X_train and transform on X_test.|Create a fresh scaler from training rows and use it to transform the held-away rows.|The repair removes test information from preparation while keeping the same downstream feature representation.
W04-1|Named service categories need indicators, not invented distances between codes.|OneHotEncoder with a fixed unknown-category policy.|Fit the service schema from training values and inspect the dense transformed array.|The learned indicator columns represent membership without imposing an ordering on service names.
W04-2|An unseen value should not trigger a new feature schema during prediction.|encoder.transform and handle_unknown='ignore'.|Create the new service row and transform it with the fitted encoder.|The existing schema is preserved; the unseen category contributes zeros to that feature’s known indicators.
W04-3|A measured quantity, a category and an existing flag need different treatment.|Measurement scales, nominal categories and binary indicators.|Classify each column by what its values mean, not merely by how they are stored.|@answer
W04-4|The transformed columns need names that match their learned order.|OneHotEncoder.transform and get_feature_names_out.|Learn island categories from training rows, transform test rows and retrieve the fitted feature names.|This keeps the test schema fixed and makes the resulting indicator array interpretable.
W05-1|Each feature type should travel through the preparation appropriate to its meaning.|ColumnTransformer, StandardScaler, OneHotEncoder and passthrough.|Build the declared numeric, category and flag branches, then fit-transform training inputs.|The transformer combines heterogeneous features without scaling named categories or changing existing binary flags.
W05-2|Transformer output order follows the declared branch order.|ColumnTransformer output and final-column slicing.|Fit the recipe, inspect its prepared array and extract the final column for comparison.|The last passthrough branch preserves weekend values; extracting it checks that preparation has not silently changed their meaning.
W05-3|The Penguin context fields are categories even when a value such as year looks numeric.|ColumnTransformer with measurement and category lists.|Route the four measurements through scaling and the three named context fields through encoding.|Explicit column roles preserve the intended feature semantics instead of choosing transformations from storage dtype alone.
W06-1|The same learned preparation must run before every later prediction.|Pipeline with named prepare/model steps.|Build mixed preparation, attach the line estimator, fit on training rows and predict test features through the whole pipeline.|The linear pipeline preserves numeric units and learns a category schema with an omitted reference, matching the playground recipe. Prediction reuses that fitted preparation.
W06-2|Replacing the estimator should leave the preparation contract intact.|Pipeline.set_params and DummyRegressor.|Swap the final named step to the mean reference, fit the pipeline and compare its predictions.|The reference keeps the workflow interface while removing feature-dependent prediction, clarifying what the richer estimator adds.
W06-3|A reusable category schema must precede the supplied classifier recipe.|OneHotEncoder, ColumnTransformer and Pipeline.|Encode only the declared context columns inside the pipeline, then fit and predict using the supplied recipe.|The pipeline learns categories from training rows and applies that exact representation to test rows.
W07-1|The replacement value must not depend on missing or observed test rows.|SimpleImputer with the median strategy.|Fit the imputer on training distance and transform that same column.|A training-only median fills missing numeric values without leaking later observations into preparation.
W07-2|A category has no numerical median.|SimpleImputer with the most_frequent strategy.|Learn the training service mode and use the fitted imputer to fill missing service values.|A valid category replacement preserves the type of the feature while respecting the training boundary.
W07-3|Missing-value replacement must happen before scaling or encoding inside each fit.|Nested Pipeline objects inside ColumnTransformer.|Build numeric impute-then-scale and category impute-then-encode branches, attach the line estimator and fit on training rows.|Each branch learns every replacement and transformation from its fitting population; the outer pipeline preserves this order during prediction.
W08-1|Fold indices describe roles within the training table; they are not new observations.|KFold.split and a list of index-array pairs.|Construct the requested shuffled three-fold splitter and inspect every pair returned for X_train.|Each pair separates a fitting subset from a validation subset without involving the reserved test population.
W08-2|Candidate comparison is a development activity.|Training folds and the protected final holdout.|Identify which population may influence candidate fitting and selection.|@answer
W08-3|A fold design for classification should preserve enough class representation for comparison.|StratifiedKFold.split with features and labels.|Supply the two measurements and their label series to a seeded five-fold stratified splitter.|The labels guide fold construction so each training-validation comparison has appropriate class representation.
W09-1|Cross-validation returns separate evidence for each fit rather than one final-test score.|cross_validate and the negative-RMSE scorer.|Evaluate the supplied model on the declared training folds and retain the result dictionary.|Independent fold fits provide comparable held-out training evidence while leaving the final test unused.
W09-2|The scorer’s sign convention differs from the reporting convention for an error.|The test_score array and unary negation.|Extract the fold score array and reverse its sign without changing its magnitudes.|Negative RMSE lets selection use larger-is-better scores; reported RMSE should remain a positive error in target units.
W09-3|A reference comparison is fair only if it uses the same validation partitions and scorer.|DummyRegressor and cross_validate.|Evaluate the training-mean reference using the supplied folds and negative-RMSE scoring.|Matching folds isolates the estimator difference rather than changing which rows are easy or difficult in each evaluation.
W09-4|A library key’s name does not identify the role of the outer reserved population.|Fold validation versus a final holdout.|Trace which rows cross_validate actually receives before interpreting test_score.|@answer
W10-1|Constructor settings are chosen before fitting; fitted attributes are learned from data.|get_params, fitted underscores and coefficients.|Separate choices supplied by the caller from quantities produced by fit.|@answer
W10-2|Look for a growing gap rather than only the smallest training error.|Training/validation error and model flexibility.|Compare each pair’s gap and whether training improvement carries over to validation.|@answer
W11-1|A search is itself a model-selection procedure.|Training-fold validation and protected test rows.|Identify which rows may influence candidate ranking and refitting.|@answer
W11-2|The scorer is larger-is-better, and each candidate has the same number of folds.|Arithmetic mean of comparable validation scores.|Average each supplied score list and compare the means using the stated direction.|@answer
W11-3|A complete workflow does not require inventing a search for every estimator.|Estimator defaults, reference comparison and validation.|Explain the defaults decision, then retain the remaining workflow evidence and boundaries.|@answer
W12-1|Every diagnostic training prediction should come from a model that did not fit that row.|cross_val_predict with the declared folds.|Generate held-out predictions for the training population and preserve their returned order.|Out-of-fold predictions support training-only diagnosis without reusing in-sample fitted predictions or opening the final test.
W12-2|Residual patterns need signed errors and the matching predicted values on the horizontal axis.|Aligned subtraction, scatter and a zero reference line.|Subtract OOF predictions from training outcomes, plot the paired values and label the axes.|The zero line separates underprediction from overprediction while the OOF boundary makes the diagnostic useful for development.
W12-3|An error table should retain the original evidence for the rows where labels disagree.|Series.ne and dataframe row selection.|Build a mismatch mask from actual versus predicted labels and retain those observations.|Keeping the full misclassified rows supports inspection of specific errors rather than hiding them inside an aggregate score.
W13-1|The candidate choice is already fixed before the reserved rows are evaluated.|clone, fit, predict and root_mean_squared_error.|Clone the chosen recipe, fit all training rows, save final predictions and calculate their RMSE.|Cloning removes stale fitted state; the final evaluation estimates the fixed workflow rather than selecting another setting.
W13-2|Reporting can reuse saved final predictions without fitting again.|Matplotlib scatter and an actual/predicted dataframe.|Pair the same stored predictions with test outcomes, label the plot and return the evidence table.|A reporting view does not change the model or reopen selection; it describes the already produced final evidence.
W13-3|Once an outcome changes a choice, it has become development information.|Final-test exposure and exploratory follow-up.|Distinguish honest further exploration from a claim that the same rows stayed untouched.|@answer
W14-1|Later observations must not teach the earlier development period.|Positional slicing and time-column extrema.|Find the stated chronological cut, create the earlier and later blocks and compare their boundary times.|Contiguous time slicing preserves the order relevant to a forward-use claim.
W14-2|Forward validation uses earlier history to evaluate later blocks.|TimeSeriesSplit.split.|Inspect all five index pairs from the earlier development table.|The ordered pairs make the expanding-history and later-validation relationship explicit without shuffling future rows into training.
W14-3|The last validation block must still be later than the rows used for its fitted line.|The final TimeSeriesSplit pair, iloc and LinearRegression.|Select the last pair, fit temperature against demand only on its training indices and predict its later validation rows.|This diagnoses performance on a future-like block while keeping the separate final period sealed.
W14-4|A timestamp alone does not make future weather available at prediction time.|Forecast horizon and input availability assumptions.|Specify when the prediction is made and how each weather value would be obtained then.|@answer
